Summary,Custom field (Additional Information),Custom field (Hospital Name),IJ Review,Issue Type,Reporter,Custom field (Can your hospital meet the following minimum emergency response times for each patient),Custom field (CCN),Custom field (Can your hospital provide acute care services at home),Custom field (Does your hospital meet the minimum required frequency of personnel visits),Custom field (Has your hospital provided acute hospital care at home services to at least 25 patients since the program's inception),"Custom field (Will you agree to establish a local safety committee review (similar to a Mortality and Morbidity team, but dedicated to this program) which will review the metrics listed above prior to weekly submission to CMS? )",Custom field (Will you agree to limit Acute Hospital Care at Home to patients who can be safely treated in their homes using a published set of selection criteria or one that has been developed internally based on your experience),"Custom field (Will you agree to track the following 3 metrics and report them to the Chief Medical Officer, Chief Nursing Officer, or Chief Executive Officer of your hospital? CMS will contact this executive directly with any concerns about reporting or quality`)","Custom field (Will you agree to use InterQual, Milliman, or another accepted patient leveling process to ensure that only patients requiring an acute level of care are treated by this hospital?)",Custom field (City),Custom field (Hospital Address 1),Custom field (Hospital Address 2),Custom field (Hospital Phone),Custom field (ZIP Code),Custom field (State),Created,Status
CCN 100075: Acute Hospital Care at Home Waiver Request,,St Joeseph's Hospital ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100075,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Tampa,3001 West MLK Jr. Blvd,,(813) 870-4200,33607,FL,Aug/02/2023 12:26 PM,IJ Review
CCN 140233: Acute Hospital Care at Home Waiver Request,"OSF Healthcare System is currently providing hospital at home services via the waiver at Saint Francis Medical Center in Peoria, IL.  This program will be expanded to Saint Anthony Medical Center in Rockford utilizing our central command center and following the same standards of care, policies and procedures to ensure high quality care and exceptional patient outcomes.",Saint Anthony Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,140233,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rockford,5666 E. State St.,,(815) 226-2000,61108,IL,Jun/16/2023 12:30 PM,No Action Needed
CCN 380103: Acute Hospital Care at Home Waiver Request,,Kaiser Foundation Westside,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,380103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hillsboro,2875 NE Stucki,,503-813-2000,97124,OR,Apr/18/2023 2:57 PM,No Action Needed
CCN 380091: Acute Hospital Care at Home Waiver Request,,Kaiser Sunnyside Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,380091,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Clackamas,10180 SE Sunnyside Road,,503-813-2000,97015,OR,Apr/18/2023 2:50 PM,No Action Needed
CCN 340113: Acute Hospital Care at Home Waiver Request,"Our adult team has been running a hospital at home service for quite some time now, and we are working to use their program on the children's hospital side to start a pediatric hospital at home program. Though we have a small number of medicare patients, we will be working with state medicaid to try and get reimbursement for the majority of our patients who fall in this category.",Carolinas Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340113,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Charlotte,1000 Blythe Blvd,,7043552000,28203,NC,Mar/31/2023 10:43 AM,IJ Review
CCN 360137: Acute Hospital Care at Home Waiver Request,,University Hospitals Cleveland Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,360137,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cleveland,11100 Euclid Ave.,,216-844-3722,44106,OH,Jan/26/2023 9:16 AM,No Action Needed
CCN 370020: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Ada,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,370020,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ada,430 N. Monte Vista Street,,580-421-1412,74820,OK,Dec/22/2022 3:47 PM,IJ Review
CCN 260052: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Washington,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260052,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Washington,901 E. 5th Street,,636-528-3329,63090,MO,Dec/22/2022 3:38 PM,IJ Review
CCN 260023: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Jefferson,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Crystal City,Highway 61 South,PO Box 350,,63019,MO,Dec/22/2022 3:31 PM,IJ Review
CCN 260059: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Lebanon,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260059,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lebanon,100 Hospital Drive,,417-533-6100,65536,MO,Dec/22/2022 3:21 PM,IJ Review
CCN 370013: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Oklahoma City,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,370013,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Oklahoma City,4300 West Memorial Road,,405-752-3495,73120,OK,Dec/22/2022 3:11 PM,IJ Review
CCN 370049: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Ardmore,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,370049,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ardmore,1011 14th Avenue N.W.,,580-220-6620,73401,OK,Dec/22/2022 3:05 PM,IJ Review
CCN 260001: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Joplin,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Joplin,100 Mercy Way,,417-556-2459,64804,MO,Dec/22/2022 2:55 PM,IJ Review
CCN 040010: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Rogers,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,40010,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rogers,2710 Rife Medical Lane,,479-338-2267,72758,AR,Dec/22/2022 2:44 PM,IJ Review
CCN 040062: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Fort Smith,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,40062,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fort Smith,7301 Rogers Avenue,,479-314-6104,72917,AR,Dec/22/2022 2:34 PM,IJ Review
CCN 260077: Acute Hospital Care at Home Waiver Request,,Mercy Hospital South,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260077,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St Louis,10010 kennerly Road,,314-525-1000,63128,MO,Dec/21/2022 3:46 PM,IJ Review
CCN 260065: Acute Hospital Care at Home Waiver Request,,Mercy Hospital Springfield,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260065,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Springfield,1235 E. Cherokee,,314-579-6100,65804,MO,Dec/21/2022 3:31 PM,IJ Review
CCN 460058: Acute Hospital Care at Home Waiver Request,,Riverton Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,460058,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Riverton,3741 West 12600 South,,801-285-4000,84065,UT,Jul/22/2022 5:36 PM,No Action Needed
CCN 150162: Acute Hospital Care at Home Waiver Request,,Franciscan Health Indianapolis ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,150162,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indianapolis,8111 South Emerson Avenue,,3175282873,46237,IN,Jun/28/2022 4:52 PM,No Action Needed
CCN 240053: Acute Hospital Care at Home Waiver Request,,Methodist Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240053,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Saint Louis Park,6500 Excelsior Boulevard,,952-993-5000,55426,MN,Jan/26/2022 4:39 PM,Approved
CCN 230058: Acute Hospital Care at Home Waiver Request,,Munson Healthcare Grayling ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,230058,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Grayling,1100 E Michigan Ave.,,989-348-5461,49738,MI,Jan/17/2022 2:50 PM,IJ Review
CCN 230081: Acute Hospital Care at Home Waiver Request,,Munson Healthcare Cadillac,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,230081,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cadillac,400 Hobart St.,,231-876-7200,49601-2331,MI,Jan/17/2022 2:41 PM,IJ Review
CCN 230005: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including  ProMedica Charles and Virginia Hickman Hospital and ProMedica Toledo Hospital discussed below.  ProMedica Charles and Virginia Hickman Hospital (PHH) is a community hospital located in Adrian, Michigan, and part of the same acute care system as ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PHH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Charles and Virginia Hickman Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,230005,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Adrian,5640 N. Adrian Highway,,517-577-0000,49221,MI,Jan/06/2022 9:03 PM,No Action Needed
CCN 361328: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Defiance Regional Hospital and ProMedica Toledo  Hospital discussed below. Defiance Hospital, Inc., doing business as ProMedica Defiance Regional Hospital (PDRH) is a community hospital located in Defiance, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PDRH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Defiance Regional Hospital ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,361328,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Defiance,1200 Ralston Ave.,,419-783-6955,43512,OH,Jan/06/2022 8:57 PM,No Action Needed
CCN 361318: Acute Hospital Care at Home Waiver Request,"ProMedica Health System, Inc. (ProMedica) is a health system serving communities in 28 states.  ProMedica’s various facilities include 13 hospital locations in Ohio and Michigan, including both ProMedica Fostoria Community Hospital and ProMedica Toledo Hospital discussed below. Fostoria Hospital Association, doing business as ProMedica Fostoria Community Hospital (PFCH) is a community hospital located in Fostoria, Ohio, which is a ProMedica affiliate of ProMedica Toledo Hospital (PTH), a current grantee of the CMS Waiver for Acute Hospital Care at Home.  PFCH is implementing the same inpatient processes and redesign care pathways through ProMedica’s innovative acute hospital care at home clinical pathway, ProMedica Acute Care at Home (PACH) division, which was implemented at PTH.  At the time of this application, ProMedica has treated or currently is treating over 180 hospital at home patients at its multiple hospital locations utilizing dedicated and clinically-tailored PACH services for each hospital’s patient population.  This model is structured and informed by demonstrated clinical experience in treating patients at home that are qualified for an inpatient admission according to application of Interqual criteria.  As structured, our PACH interventions will be available for multiple diagnoses and not episode-specific.",ProMedica Fostoria Community Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,361318,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fostoria,501 Van Buren St.,,419-435-7734,44830,OH,Jan/06/2022 8:51 PM,No Action Needed
CCN 330125: Acute Hospital Care at Home Waiver Request,,Rochester General Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rochester,1425 Portland Avenue,,5859224000,14621,NY,Dec/15/2021 11:19 AM,No Action Needed
CCN 390046: Acute Hospital Care at Home Waiver Request,,WellSpan York Hospital ,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390046,Yes,Yes,Yes,Yes,Yes,Yes,Yes,York ,1001 South George Street ,,,17405,PA,Dec/06/2021 5:07 PM,No Action Needed
CCN 390160: Acute Hospital Care at Home Waiver Request,,Canonsburg Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390160,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Canonsburg,100 Medical Blvd.,,7248735879,15317,PA,Oct/22/2021 2:06 PM,No Action Needed
