Summary,Custom field (Additional Information),Custom field (Hospital Name),IJ Review,Issue Type,Reporter,Custom field (Can your hospital meet the following minimum emergency response times for each patient),Custom field (CCN),Custom field (Can your hospital provide acute care services at home),Custom field (Does your hospital meet the minimum required frequency of personnel visits),Custom field (Has your hospital provided acute hospital care at home services to at least 25 patients since the program's inception),"Custom field (Will you agree to establish a local safety committee review (similar to a Mortality and Morbidity team, but dedicated to this program) which will review the metrics listed above prior to weekly submission to CMS? )",Custom field (Will you agree to limit Acute Hospital Care at Home to patients who can be safely treated in their homes using a published set of selection criteria or one that has been developed internally based on your experience),"Custom field (Will you agree to track the following 3 metrics and report them to the Chief Medical Officer, Chief Nursing Officer, or Chief Executive Officer of your hospital? CMS will contact this executive directly with any concerns about reporting or quality`)","Custom field (Will you agree to use InterQual, Milliman, or another accepted patient leveling process to ensure that only patients requiring an acute level of care are treated by this hospital?)",Custom field (City),Custom field (Hospital Address 1),Custom field (Hospital Address 2),Custom field (Hospital Phone),Custom field (ZIP Code),Custom field (State),Created,Status
CCN 390001: Acute Hospital Care at Home Waiver Request,,Geisinger-Community Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Scranton,1800 Mulberry Street,,(570) 703-8000,18510,PA,Dec/29/2020 7:40 PM,Approved
CCN 390270: Acute Hospital Care at Home Waiver Request,,Geisinger Wyoming Valley Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390270,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wilkes-Barre,1000 East Mountain Blvd.,,(570) 808-7300,18711,PA,Dec/29/2020 7:36 PM,Approved
CCN 390006: Acute Hospital Care at Home Waiver Request,,Geisinger Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390006,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Danville,100 North Academy Avenue,,(570) 271-6211,17822,PA,Dec/29/2020 7:31 PM,Approved
CCN 050121: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",Hanford Community Hospital dba Adventist Health Hanford,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hanford,115 Mall Drive,,(559) 582-9000,93230,CA,Dec/23/2020 1:59 AM,Approved
CCN 440082: Acute Hospital Care at Home Waiver Request,"Ascension Saint Thomas West and Midtown (CCN#: 440082), part of Ascension Saint Thomas Health System currently offers a hospital at home clinical program through a partnership with Contessa Health. Ascension Saint Thomas West and Midtown has seen 30 patients to-date in the hospital at home program. The program has in-home nurses, admitting and treating providers, virtual nurses, social workers and other professionals, which are all part of a single team that administers the program. This hospital at home clinical program has already established comprehensive protocols, procedures, and best practices for treating inpatient-eligible, medical patients in their homes. An already assembled and trained multidisciplinary care team and integrated ancillary provider network enable hospital-equivalent services to be provided to patients in a highly-coordinated, efficient and safe manner.",Saint Thomas West Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440082,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nashville,4220 Harding Pike,,615-222-2111,37205-2005,TN,Dec/21/2020 6:21 PM,Approved
CCN 340113: Acute Hospital Care at Home Waiver Request,,Carolinas Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340113,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Charlotte,1000 Blythe Blvd,,704-355-1000,28203,NC,Dec/18/2020 2:14 PM,Approved
CCN 340001: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We are also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Atrium Health Cabarrus,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Concord,920 Church St North,,,28025,NC,Dec/18/2020 10:05 AM,Approved
CCN 340098: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We are also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Atrium Health Pineville,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340098,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pineville,10628 Park Rd,,704-667-1000,28210,NC,Dec/18/2020 10:02 AM,Approved
CCN 340113: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We area also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Carolinas Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340113,Yes,Yes,Yes,Yes,Yes,Yes,No,Charlotte,1000 Blythe Blvd,,704-355-2000,28203,NC,Dec/18/2020 9:53 AM,Duplicate
CCN 140067: Acute Hospital Care at Home Waiver Request,"At least two in-person daily visits by either an RN or Mobile Integrated Health paramedics depending on the established nursing plan.**Plan to establish nursing care plan that includes at minimum 2 clinician in person visits clinicians include RN, Mobile Integrated Health Paramedic, NPP, LPN, PT, PTA, OT, COTA, SLP, RT",OSF Saint Francis Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,140067,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Peoria ,530 NE Glen Oak Ave ,,3096552000,61637,IL,Dec/17/2020 6:09 PM,Approved
CCN 140067: Acute Hospital Care at Home Waiver Request,"At least two in-person daily visits by either an RN or Mobile Integrated Health paramedics, depending on the established nursing plan* * Plan to establish nursing care plan that includes at minimum 2 clinician in person visits clinicians include RN, Mobile Integrated Health Paramedic, NPP, LPN,PT,PTA,OT, COTA,SLP, RT
",OSF Saint Francis Medical Center,,Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,140067,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Peoria ,530 NE Glen Oak Ave,,3096552000,61637,IL,Dec/11/2020 10:24 AM,Duplicate
CCN 050455: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to understand the inclusion and exclusion criteria to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",San Joaquin Community Hospital dba Adventist Health Bakersfield,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50455,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bakersfield ,2615 Chester Ave,,,93301,CA,Dec/09/2020 6:52 PM,Approved
CCN 050301: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to understand the inclusion and exclusion criteria to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",Adventist Health Ukiah Valley,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ukiah,275 Hospital Dr,,,95482,CA,Dec/09/2020 6:38 PM,Approved
CCN 520070: Acute Hospital Care at Home Waiver Request,"Mayo Clinic Health System-Northwest Wisconsin Region, Inc. has an existing acute care at home program operated out of a separate entity.  This program operates at a system level and the hospital is part of the system. The program in Eau Claire has treated more than 25 patients discharged from the Eau Claire hospital. Eau Claire has an existing infrastructure to provide these services under their current program. If the longer form is applicable in this situation, please let us know.",Mayo Clinic Health System-Northwest Wisconsin Region,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,520070,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Eau Claire,1221 Whipple Street,,715-838-3311,54703-5270,WI,Dec/07/2020 9:48 AM,Approved
CCN 440039: Acute Hospital Care at Home Waiver Request,,Vanderbilt University Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440039,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nashville,1211 Medical Center Drive,,615 322-5000,37232,TN,Dec/04/2020 3:50 PM,Approved
CCN 100151: Acute Hospital Care at Home Waiver Request,,Mayo Clinic Florida,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100151,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jacksonville,4500 San Pablo Road S.,,904-953-2000,32224-1865,FL,Dec/04/2020 3:06 PM,Approved
CCN 520037: Acute Hospital Care at Home Waiver Request,"Marshfield Medical Center - Marshfield (CCN#: [520037]), part of Marshfield Clinic Health System currently offers a hospital at home clinical program through a partnership with Contessa Health. Marshfield Medical Center - Marshfield has seen 430 patients to-date in the hospital at home program. The program has in-home nurses, admitting and treating providers, virtual nurses, social workers and other professionals, which are all part of a single team that administers the program. This hospital at home clinical program has already established comprehensive protocols, procedures, and best practices for treating inpatient-eligible, medical patients in their homes. An already assembled and trained multidisciplinary care team and integrated ancillary provider network enable hospital-equivalent services to be provided to patients in a highly-coordinated, efficient and safe manner. Additional details around the current hospital at home program infrastructure include: Specially trained and competency-verified physicians (hospitalists), nurses, and ancillary providers dedicated to providing hospital equivalent services to inpatient-eligible patients in their homes. Best practice procedures and protocols developed through extensive experience treating hospital-level patients at home to ensure safety and a consistent patient experience.A robust network of hospital-owned and contracted providers to deliver services including, but not limited to, extended in-home nursing and therapy visits, durable medical equipment, home infusion, labs, mobile imaging, transportation, etc. Comprehensive processes for logistics management, care team communication, and documentation workflows to ensure clinical information capture and continuity of patient care. Evidence-based set of escalation protocols which identify changes in patient condition early and facilitate provider intervention where needed. A thorough oversight structure at the hospital and system-wide level including trained medical directors, a multidisciplinary quality control council, and reporting competencies to track patient outcomes.",Marshfield Medical Center-Marshfield,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,520037,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Marshfield,611 Saint Joseph Avenue,,7153871713,54449,WI,Dec/03/2020 11:52 AM,Approved
CCN 330195: Acute Hospital Care at Home Waiver Request,,North Shore University Hospital,,Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330195,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Manhaastet,300 Community Drive,,,11030,NY,Dec/03/2020 2:31 AM,Duplicate
CCN 420078: Acute Hospital Care at Home Waiver Request,,Greenville Memorial Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,420078,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Greenville,701 Grove Road,,864-455-7000,29605,SC,Dec/02/2020 2:43 PM,Approved
CCN 340173: Acute Hospital Care at Home Waiver Request,,WakeMed Health and Hospitals- Cary,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340173,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cary,1900 Kildaire Farm Road,,919-350-8000,27518,NC,Dec/02/2020 12:58 PM,Approved
CCN 340069: Acute Hospital Care at Home Waiver Request,,WakeMed Health and Hospitals- Raleigh,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340069,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Raleigh,3000 New Bern Ave,,919-350-8000,27610,NC,Dec/02/2020 12:51 PM,Approved
CCN 490007: Acute Hospital Care at Home Waiver Request,"Home radiology services can be provided through point of care ultrasound. Other modalities require transportation to an acute care center. Additionally, if needed, we can provide continuous vital sign monitoring.",Sentara Norfolk General Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,490007,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Norfolk,600 Gresham Drive,,757-388-3000,23507,VA,Dec/01/2020 12:49 PM,Approved
CCN 260020: Acute Hospital Care at Home Waiver Request,,Mercy Hospital St. Louis,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,260020,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St. Louis,615 S New Ballas Road,,314-251-6000,63141,MO,Nov/30/2020 4:46 PM,Approved
330046: Mount Sinai Morningside Hospital,,Mount Sinai Morningside Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,if9490,Yes,330046,Yes,Yes,Yes,Yes,Yes,Yes,Yes,New York,1111 Amsterdam Avenue,,212-523-4000,10025,NY,Nov/25/2020 4:03 PM,Approved
330024: Mount Sinai Hospital,,Mount Sinai Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,if9490,Yes,330024,Yes,Yes,Yes,Yes,Yes,Yes,Yes,New York,1  Gustave L. Levy Place,,212-241-6450,10029,NY,Nov/25/2020 3:47 PM,Approved
220071: Massachusetts General Hospital,,Massachusetts General Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,if9490,Yes,220071,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Boston,55 Fruit Street,,617-726-2000,2114,MA,Nov/25/2020 3:42 PM,Approved
CCN 460009:  University of Utah Health and Huntsman Cancer Institute,,University of Utah Health and Huntsman Cancer Institute,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,fahmed1081,Yes,460009,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Salt Lake City,50 N. Medical Drive,,8015812121,84132,UT,Nov/25/2020 3:38 PM,Approved
320021: Presbyterian Hospital/Presbyterian Healthcare Services,,Presbyterian Hospital/Presbyterian Healthcare Services,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,if9490,Yes,320021,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Albuquerque,"8100 Constitution Pl NE, Suite 400",,505-724-7300,87110,NM,Nov/25/2020 3:29 PM,Approved
CCN 330169: Mount Sinai Beth Israel Hospital,,Mount Sinai Beth Israel Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,fl9217,Yes,330169,Yes,Yes,Yes,Yes,Yes,Yes,Yes,New York,317 East 17th Street,,2124202000,10003,NY,Nov/25/2020 3:28 PM,Approved
160082: UnityPoint Health System: UPaH/UPC,,UnityPoint Health System,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,if9490,Yes,160082,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Des Moines,1200 Pleasant Street,,,50309,IA,Nov/25/2020 3:24 PM,Approved
CCN 220110: Brigham and Women's Hospital,,Brigham and Women's Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,fl9217,Yes,220110,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Boston,75 Francis St,,6177325500,2115,MA,Nov/25/2020 3:23 PM,Approved
